#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
ENSMUSP00000138620   -          COG0666              -           6.1e-271  893.9 100.3   9.4e-41  140.3   9.1   7.6   1   1   9  10  10  10  10 -
ENSMUSP00000147144   -          COG0666              -            1.7e-51  175.5  11.4   4.2e-26   92.3   0.7   3.8   2   1   2   4   4   3   3 -
ENSMUSP00000038450   -          COG0666              -            7.4e-51  173.4  18.8   7.5e-27   94.8   9.0   4.4   1   1   2   3   3   3   2 -
ENSMUSP00000119057   -          COG0666              -            1.5e-50  172.4   3.4   5.6e-27   95.2   0.1   2.3   1   1   1   2   2   2   2 -
ENSMUSP00000153607   -          COG0666              -            2.3e-50  171.7   7.0   7.3e-28   98.1   0.9   3.6   1   1   2   3   3   3   3 -
ENSMUSP00000070561   -          COG0666              -            1.2e-49  169.4   3.7   7.8e-21   75.1   0.0   3.3   1   1   2   3   3   3   3 -
ENSMUSP00000100568   -          COG0666              -            3.3e-49  168.0   9.2   1.7e-18   67.4   0.2   4.7   2   2   3   5   5   5   5 -
ENSMUSP00000084095   -          COG0666              -            3.1e-48  164.8  12.7   1.1e-26   94.3   3.4   3.8   2   1   1   3   3   2   2 -
ENSMUSP00000057996   -          COG0666              -            4.4e-48  164.3   5.4   8.3e-18   65.2   0.2   4.4   2   2   1   3   3   3   3 -
ENSMUSP00000086294   -          COG0666              -            9.1e-48  163.2  19.0   4.4e-18   66.1   3.4   3.5   1   1   2   3   3   3   3 -
ENSMUSP00000022275   -          COG0666              -            2.2e-47  162.0   1.9   1.4e-17   64.4   0.1   3.2   1   1   2   3   3   3   3 -
ENSMUSP00000054428   -          COG0666              -            2.7e-47  161.7  16.9   2.6e-22   79.9   0.4   4.2   1   1   2   4   4   4   3 -
ENSMUSP00000138539   -          COG0666              -            2.2e-46  158.7   9.3   1.1e-30  107.3   3.3   3.0   2   1   1   3   3   3   2 -
ENSMUSP00000023157   -          COG0666              -            2.6e-46  158.5   3.5   3.8e-27   95.7   0.2   2.7   1   1   1   2   2   2   2 -
ENSMUSP00000115813   -          COG0666              -            5.4e-44  150.9   0.8   6.9e-44  150.5   0.8   1.1   1   0   0   1   1   1   1 -
ENSMUSP00000034775   -          COG0666              -            7.7e-43  147.1  12.4   2.9e-32  112.5   2.1   4.2   3   2   1   4   4   3   3 -
ENSMUSP00000146381   -          COG0666              -            1.2e-42  146.5   0.1   9.8e-25   87.8   0.1   2.0   1   1   1   2   2   2   2 -
ENSMUSP00000061168   -          COG0666              -              2e-42  145.7   4.8   5.1e-25   88.8   0.8   2.0   1   1   1   2   2   2   2 -
ENSMUSP00000041300   -          COG0666              -            2.5e-42  145.5  18.0   7.5e-31  107.9  11.7   3.3   2   1   1   3   3   2   2 -
ENSMUSP00000039206   -          COG0666              -            2.9e-42  145.2   5.0   1.9e-23   83.6   0.3   2.5   1   1   1   2   2   2   2 -
ENSMUSP00000040331   -          COG0666              -            1.6e-41  142.8  11.0   2.4e-23   83.3   2.8   2.5   2   0   0   2   2   2   2 -
ENSMUSP00000013931   -          COG0666              -            3.1e-41  141.8   4.6     8e-25   88.1   0.1   2.7   2   1   1   3   3   2   2 -
ENSMUSP00000087815   -          COG0666              -            1.1e-39  136.7  12.4   5.4e-21   75.6   3.6   2.9   1   1   0   2   2   2   2 -
ENSMUSP00000069013   -          COG0666              -            1.3e-39  136.6   0.1   1.5e-22   80.7   0.0   2.2   1   1   1   2   2   2   2 -
ENSMUSP00000047244   -          COG0666              -            3.3e-39  135.2  12.9   3.3e-22   79.6   2.6   2.4   1   1   1   2   2   2   2 -
ENSMUSP00000111054   -          COG0666              -            1.9e-38  132.7   8.2   1.3e-21   77.6   3.6   2.1   1   1   1   2   2   2   2 -
ENSMUSP00000144181   -          COG0666              -            3.4e-38  131.9   1.5   3.3e-29  102.5   0.6   1.5   1   1   1   2   2   2   2 -
ENSMUSP00000144411   -          COG0666              -            3.4e-38  131.9   1.5   3.3e-29  102.5   0.6   1.5   1   1   1   2   2   2   2 -
ENSMUSP00000028577   -          COG0666              -            7.7e-38  130.7   0.0   1.4e-37  129.9   0.0   1.4   1   0   0   1   1   1   1 -
ENSMUSP00000134672   -          COG0666              -            1.5e-37  129.8   2.8   2.3e-19   70.2   0.1   2.5   1   1   1   2   2   2   2 -
ENSMUSP00000146720   -          COG0666              -              2e-37  129.4   0.8   2.3e-22   80.0   0.1   2.5   2   0   0   2   2   2   2 -
ENSMUSP00000106345   -          COG0666              -            9.4e-37  127.2  15.1   1.6e-14   54.4   4.7   4.6   1   1   1   4   4   4   3 -
ENSMUSP00000099465   -          COG0666              -              8e-36  124.1  14.5   2.3e-19   70.2   0.8   3.4   2   1   1   4   4   4   3 -
ENSMUSP00000043462   -          COG0666              -            1.6e-35  123.2   6.5   6.8e-20   72.0   1.2   2.4   1   1   1   2   2   2   2 -
ENSMUSP00000157960   -          COG0666              -            3.3e-35  122.1   1.7   3.8e-19   69.6   0.2   2.1   1   1   1   2   2   2   2 -
ENSMUSP00000105482   -          COG0666              -            5.9e-35  121.3   0.4     1e-34  120.5   0.4   1.4   1   0   0   1   1   1   1 -
ENSMUSP00000088089   -          COG0666              -            1.3e-34  120.1  16.8   3.6e-26   92.5   0.5   3.7   3   1   1   4   4   3   2 -
ENSMUSP00000112498   -          COG0666              -            1.5e-34  119.9   0.2   1.5e-27   97.0   0.0   2.2   1   1   1   2   2   2   2 -
ENSMUSP00000015612   -          COG0666              -            1.9e-34  119.6   9.9   7.2e-21   75.2   1.4   2.3   1   1   1   2   2   2   2 -
ENSMUSP00000080069   -          COG0666              -              1e-33  117.2   0.2   9.4e-33  114.1   0.2   2.2   1   1   1   2   2   2   1 -
ENSMUSP00000043279   -          COG0666              -            1.2e-33  117.0   0.1     2e-32  113.0   0.1   2.0   1   1   0   1   1   1   1 -
ENSMUSP00000113851   -          COG0666              -            1.5e-33  116.7   4.6   1.9e-21   77.1   0.4   2.5   1   1   1   2   2   2   2 -
ENSMUSP00000151842   -          COG0666              -            2.2e-33  116.1   1.1   1.6e-19   70.7   0.1   2.5   1   1   1   2   2   2   2 -
ENSMUSP00000146677   -          COG0666              -            3.1e-33  115.7   1.1   1.3e-17   64.5   0.1   2.4   1   1   1   2   2   2   2 -
ENSMUSP00000028113   -          COG0666              -            3.3e-33  115.6   0.1   2.3e-17   63.7   0.0   2.1   1   1   1   2   2   2   2 -
ENSMUSP00000157671   -          COG0666              -            9.4e-33  114.1   0.2   1.4e-32  113.5   0.2   1.1   1   0   0   1   1   1   1 -
ENSMUSP00000010940   -          COG0666              -            1.5e-32  113.5   1.4   3.2e-32  112.3   1.4   1.7   1   1   0   1   1   1   1 -
ENSMUSP00000112932   -          COG0666              -            2.8e-32  112.5  13.5   9.6e-19   68.2   4.1   3.2   1   1   1   2   2   2   2 -
ENSMUSP00000106055   -          COG0666              -            3.6e-32  112.2   0.0     4e-32  112.0   0.0   1.3   1   1   0   1   1   1   1 -
ENSMUSP00000083633   -          COG0666              -              2e-31  109.7   2.6   7.2e-18   65.3   0.2   2.7   1   1   0   2   2   2   2 -
ENSMUSP00000037356   -          COG0666              -            6.5e-31  108.1   9.2   2.5e-30  106.1   9.2   1.8   1   1   0   1   1   1   1 -
ENSMUSP00000103571   -          COG0666              -            3.3e-30  105.7   0.7   1.2e-15   58.1   0.1   2.2   1   1   1   2   2   2   2 -
ENSMUSP00000147714   -          COG0666              -            3.7e-30  105.6   0.0     1e-29  104.1   0.0   1.8   1   0   0   1   1   1   1 -
ENSMUSP00000062615   -          COG0666              -            4.1e-30  105.5   0.0   5.5e-30  105.0   0.0   1.3   1   0   0   1   1   1   1 -
ENSMUSP00000013886   -          COG0666              -            7.2e-30  104.6   1.8   9.1e-16   58.5   0.1   3.0   2   1   0   3   3   3   2 -
ENSMUSP00000102827   -          COG0666              -            1.1e-29  104.0   0.3   3.4e-29  102.4   0.3   1.6   1   1   0   1   1   1   1 -
ENSMUSP00000137434   -          COG0666              -            1.2e-29  103.9   0.1   2.3e-29  103.0   0.1   1.5   1   0   0   1   1   1   1 -
ENSMUSP00000081059   -          COG0666              -            1.2e-29  103.9   0.1   2.3e-29  103.0   0.1   1.5   1   0   0   1   1   1   1 -
ENSMUSP00000096508   -          COG0666              -            1.3e-29  103.9   0.1   2.3e-29  103.0   0.1   1.4   1   0   0   1   1   1   1 -
ENSMUSP00000062047   -          COG0666              -            1.9e-29  103.2   4.8   3.3e-17   63.2   0.2   2.9   1   1   0   2   2   2   2 -
ENSMUSP00000028288   -          COG0666              -            2.5e-29  102.9   2.6     4e-28   98.9   2.6   2.2   1   1   0   1   1   1   1 -
ENSMUSP00000123787   -          COG0666              -            4.7e-29  102.0   0.4   6.3e-11   42.6   0.1   3.5   3   1   0   3   3   3   3 -
ENSMUSP00000151079   -          COG0666              -            6.3e-29  101.6   0.1   7.9e-29  101.2   0.1   1.1   1   0   0   1   1   1   1 -
ENSMUSP00000100944   -          COG0666              -            1.2e-28  100.7   0.3   1.4e-17   64.4   0.1   2.5   1   1   1   2   2   2   2 -
ENSMUSP00000085016   -          COG0666              -            1.8e-28  100.1   5.7   1.1e-27   97.5   5.7   2.0   1   1   0   1   1   1   1 -
ENSMUSP00000078741   -          COG0666              -            5.3e-28   98.5   2.7   6.8e-27   94.9   3.3   2.3   2   1   0   2   2   1   1 -
ENSMUSP00000022164   -          COG0666              -            8.3e-28   97.9   0.2   3.6e-27   95.8   0.2   1.9   2   0   0   2   2   1   1 -
ENSMUSP00000101522   -          COG0666              -            1.6e-27   97.0   2.5   7.8e-16   58.7   0.2   2.2   1   1   1   2   2   2   2 -
ENSMUSP00000072859   -          COG0666              -            3.3e-27   95.9   6.9   6.6e-26   91.7   5.8   2.8   1   1   0   1   1   1   1 -
ENSMUSP00000095938   -          COG0666              -            3.6e-27   95.8   0.0   6.6e-27   94.9   0.0   1.4   1   0   0   1   1   1   1 -
ENSMUSP00000029812   -          COG0666              -            4.4e-27   95.5   3.0   1.5e-20   74.2   2.1   2.3   1   1   1   2   2   2   2 -
ENSMUSP00000112170   -          COG0666              -            6.1e-27   95.1   2.7     1e-26   94.3   2.7   1.3   1   0   0   1   1   1   1 -
ENSMUSP00000039035   -          COG0666              -              8e-27   94.7   0.0   1.4e-26   93.9   0.0   1.3   1   0   0   1   1   1   1 -
ENSMUSP00000073957   -          COG0666              -            8.7e-27   94.6   1.8   1.5e-25   90.5   1.8   2.2   1   1   0   1   1   1   1 -
ENSMUSP00000108449   -          COG0666              -            1.1e-26   94.3   4.8   7.9e-26   91.4   4.8   2.4   1   1   0   1   1   1   1 -
ENSMUSP00000156580   -          COG0666              -            1.6e-26   93.7   9.3   7.6e-23   81.6   4.1   2.1   1   1   1   2   2   2   2 -
ENSMUSP00000033905   -          COG0666              -            5.3e-26   92.0   0.7     1e-25   91.1   0.7   1.5   1   0   0   1   1   1   1 -
ENSMUSP00000032815   -          COG0666              -            1.3e-25   90.7   2.2   1.2e-24   87.6   2.5   1.9   1   1   0   1   1   1   1 -
ENSMUSP00000027393   -          COG0666              -            2.1e-25   90.0   0.0   3.2e-25   89.4   0.0   1.2   1   0   0   1   1   1   1 -
ENSMUSP00000001172   -          COG0666              -            5.9e-25   88.6   0.4   7.1e-25   88.3   0.4   1.1   1   0   0   1   1   1   1 -
ENSMUSP00000148655   -          COG0666              -            1.7e-24   87.0   0.1   3.5e-24   86.0   0.1   1.5   1   0   0   1   1   1   1 -
ENSMUSP00000104932   -          COG0666              -            5.3e-24   85.4   2.8   3.2e-14   53.4   0.8   2.1   1   1   1   2   2   2   2 -
ENSMUSP00000033182   -          COG0666              -            5.9e-24   85.3   0.0   8.9e-24   84.7   0.0   1.2   1   0   0   1   1   1   1 -
ENSMUSP00000021413   -          COG0666              -            9.1e-24   84.7   3.6   2.4e-13   50.6   0.3   2.1   1   1   1   2   2   2   2 -
ENSMUSP00000118984   -          COG0666              -            1.3e-23   84.2   0.0     1e-16   61.6   0.0   2.4   2   1   1   3   3   2   2 -
ENSMUSP00000075566   -          COG0666              -            2.5e-23   83.2   1.1   7.2e-16   58.8   0.2   2.3   1   1   1   2   2   2   2 -
ENSMUSP00000099326   -          COG0666              -            2.9e-23   83.0   0.0   5.6e-20   72.3   0.0   1.7   1   1   1   2   2   2   2 -
ENSMUSP00000095534   -          COG0666              -            3.4e-23   82.8   0.4   4.3e-23   82.5   0.4   1.1   1   0   0   1   1   1   1 -
ENSMUSP00000078369   -          COG0666              -            9.6e-23   81.3   1.2   2.7e-22   79.8   0.6   1.9   2   0   0   2   2   1   1 -
ENSMUSP00000129597   -          COG0666              -            1.1e-22   81.1   0.0   2.3e-22   80.1   0.0   1.5   1   0   0   1   1   1   1 -
ENSMUSP00000025686   -          COG0666              -            1.2e-22   81.0   0.0   1.1e-10   41.9   0.1   2.0   2   0   0   2   2   2   2 -
ENSMUSP00000148739   -          COG0666              -            1.3e-22   80.9   0.0   1.8e-22   80.4   0.0   1.1   1   0   0   1   1   1   1 -
ENSMUSP00000047042   -          COG0666              -            1.1e-21   77.9   1.9   2.3e-21   76.8   1.2   1.7   1   1   0   1   1   1   1 -
ENSMUSP00000031866   -          COG0666              -            4.1e-21   76.0   0.1   4.5e-21   75.8   0.1   1.0   1   0   0   1   1   1   1 -
ENSMUSP00000111175   -          COG0666              -            5.4e-21   75.6   0.0   8.1e-21   75.0   0.0   1.2   1   0   0   1   1   1   1 -
ENSMUSP00000122000   -          COG0666              -            6.6e-21   75.3   0.1   1.1e-20   74.6   0.1   1.3   1   0   0   1   1   1   1 -
ENSMUSP00000142202   -          COG0666              -            8.4e-21   75.0   0.5   1.1e-20   74.6   0.5   1.0   1   0   0   1   1   1   1 -
ENSMUSP00000150701   -          COG0666              -            1.4e-20   74.2   0.3   4.7e-19   69.2   0.3   2.0   1   1   0   1   1   1   1 -
ENSMUSP00000103811   -          COG0666              -            4.7e-20   72.5   5.9   2.2e-10   40.8   0.2   3.0   2   1   0   2   2   2   2 -
ENSMUSP00000100542   -          COG0666              -            8.7e-20   71.6   0.9     2e-18   67.2   0.7   2.1   1   1   1   2   2   2   2 -
ENSMUSP00000033201   -          COG0666              -            1.6e-19   70.8   0.4   2.7e-19   70.0   0.4   1.4   1   0   0   1   1   1   1 -
ENSMUSP00000031902   -          COG0666              -            2.2e-19   70.3   1.6   5.5e-10   39.5   1.2   2.2   1   1   1   2   2   2   2 -
ENSMUSP00000110102   -          COG0666              -            8.3e-19   68.4   5.9   6.2e-09   36.1   0.1   2.6   2   1   0   2   2   2   2 -
ENSMUSP00000039484   -          COG0666              -            1.1e-18   68.1   0.1   1.5e-18   67.6   0.1   1.3   1   0   0   1   1   1   1 -
ENSMUSP00000014891   -          COG0666              -            1.4e-18   67.7   0.0   3.4e-12   46.8   0.0   2.2   1   1   1   2   2   2   2 -
ENSMUSP00000102707   -          COG0666              -            2.2e-18   67.0   2.9   5.8e-18   65.7   2.7   1.6   1   1   0   1   1   1   1 -
ENSMUSP00000042177   -          COG0666              -            2.5e-18   66.8   6.0   3.9e-17   63.0   5.6   2.2   1   1   0   1   1   1   1 -
ENSMUSP00000054330   -          COG0666              -            4.9e-18   65.9   0.4   0.00026   21.0   0.0   2.1   1   1   0   1   1   1   1 -
ENSMUSP00000052521   -          COG0666              -            5.9e-18   65.6   0.2   2.3e-13   50.6   0.0   2.0   1   1   1   2   2   2   2 -
ENSMUSP00000078985   -          COG0666              -            7.6e-18   65.3   0.0   1.1e-17   64.7   0.0   1.3   1   0   0   1   1   1   1 -
ENSMUSP00000031901   -          COG0666              -            1.6e-17   64.2   3.0   6.5e-08   32.8   2.3   2.2   1   1   1   2   2   2   2 -
ENSMUSP00000113162   -          COG0666              -            1.6e-17   64.2   1.1   2.7e-11   43.9   0.0   1.9   1   1   1   2   2   2   2 -
ENSMUSP00000156077   -          COG0666              -            1.7e-17   64.1   0.3   2.8e-17   63.4   0.3   1.3   1   0   0   1   1   1   1 -
ENSMUSP00000102611   -          COG0666              -            3.6e-17   63.1   1.2   1.6e-11   44.6   0.3   2.4   3   0   0   3   3   2   2 -
ENSMUSP00000099851   -          COG0666              -            7.8e-17   62.0   5.4   1.4e-16   61.2   5.4   1.3   1   0   0   1   1   1   1 -
ENSMUSP00000136879   -          COG0666              -            1.5e-16   61.0   0.1   6.3e-13   49.2   0.0   2.0   1   1   1   2   2   2   2 -
ENSMUSP00000040126   -          COG0666              -            1.9e-16   60.7  11.1   5.6e-13   49.3   5.5   2.5   1   1   1   2   2   2   2 -
ENSMUSP00000049124   -          COG0666              -            2.4e-16   60.4   0.4   3.6e-16   59.8   0.4   1.2   1   0   0   1   1   1   1 -
ENSMUSP00000056787   -          COG0666              -            2.7e-16   60.2   0.2     1e-15   58.3   0.2   1.8   1   1   0   1   1   1   1 -
ENSMUSP00000025631   -          COG0666              -              3e-16   60.0   0.5   4.5e-16   59.5   0.5   1.2   1   0   0   1   1   1   1 -
ENSMUSP00000155584   -          COG0666              -            3.5e-16   59.8   4.5     2e-15   57.4   4.6   1.8   1   1   0   1   1   1   1 -
ENSMUSP00000146582   -          COG0666              -            3.7e-16   59.8   0.9   1.3e-15   57.9   0.1   2.1   1   1   0   2   2   1   1 -
ENSMUSP00000054444   -          COG0666              -            5.3e-16   59.2   0.1   1.1e-15   58.2   0.1   1.5   1   0   0   1   1   1   1 -
ENSMUSP00000137367   -          COG0666              -              1e-15   58.3   3.3   3.8e-09   36.8   0.2   2.4   1   1   1   2   2   2   2 -
ENSMUSP00000095595   -          COG0666              -            1.4e-15   57.9   0.2   2.1e-15   57.3   0.2   1.2   1   0   0   1   1   1   1 -
ENSMUSP00000101209   -          COG0666              -            1.4e-15   57.8   3.0   2.6e-15   57.0   3.0   1.3   1   0   0   1   1   1   1 -
ENSMUSP00000026121   -          COG0666              -            2.9e-15   56.8   0.0   3.5e-15   56.6   0.0   1.1   1   0   0   1   1   1   1 -
ENSMUSP00000118312   -          COG0666              -            4.4e-15   56.2   0.5   9.7e-15   55.1   0.0   1.9   2   0   0   2   2   1   1 -
ENSMUSP00000034717   -          COG0666              -            6.3e-15   55.7   3.6     4e-12   46.6   1.8   2.7   1   1   1   2   2   2   1 -
ENSMUSP00000112508   -          COG0666              -            7.7e-14   52.2   0.0   1.4e-13   51.3   0.0   1.4   1   0   0   1   1   1   1 -
ENSMUSP00000062464   -          COG0666              -            1.4e-13   51.3   0.1   2.6e-13   50.5   0.1   1.3   1   0   0   1   1   1   1 -
ENSMUSP00000136449   -          COG0666              -            1.4e-13   51.3   0.0   5.9e-13   49.3   0.0   1.9   2   0   0   2   2   1   1 -
ENSMUSP00000047839   -          COG0666              -            3.1e-13   50.2   0.3   4.8e-13   49.5   0.3   1.3   1   0   0   1   1   1   1 -
ENSMUSP00000038662   -          COG0666              -            4.6e-13   49.6   0.1   6.6e-13   49.1   0.1   1.2   1   0   0   1   1   1   1 -
ENSMUSP00000001631   -          COG0666              -              5e-13   49.5   0.4   1.2e-12   48.3   0.4   1.5   1   0   0   1   1   1   1 -
ENSMUSP00000100615   -          COG0666              -              6e-13   49.3   0.0   8.2e-13   48.8   0.0   1.2   1   0   0   1   1   1   1 -
ENSMUSP00000090568   -          COG0666              -            7.5e-13   48.9   0.0   1.5e-12   47.9   0.0   1.5   1   0   0   1   1   1   1 -
ENSMUSP00000074478   -          COG0666              -            7.6e-13   48.9   0.2   1.2e-12   48.2   0.2   1.2   1   0   0   1   1   1   1 -
ENSMUSP00000043466   -          COG0666              -            2.5e-12   47.2   0.6   4.1e-12   46.5   0.6   1.3   1   0   0   1   1   1   1 -
ENSMUSP00000113291   -          COG0666              -            4.1e-12   46.5   0.0   7.7e-12   45.6   0.0   1.4   1   0   0   1   1   1   1 -
ENSMUSP00000056828   -          COG0666              -              5e-12   46.2   0.4   1.4e-11   44.8   0.3   1.6   1   1   0   1   1   1   1 -
ENSMUSP00000015277   -          COG0666              -            1.5e-11   44.7   0.1   3.3e-11   43.5   0.1   1.6   1   0   0   1   1   1   1 -
ENSMUSP00000037210   -          COG0666              -            1.5e-11   44.7   0.1     4e-11   43.3   0.1   1.7   1   0   0   1   1   1   1 -
ENSMUSP00000032169   -          COG0666              -            2.2e-11   44.1   0.0   5.3e-11   42.9   0.0   1.6   1   0   0   1   1   1   1 -
ENSMUSP00000158607   -          COG0666              -            3.3e-11   43.6   0.1   7.1e-11   42.5   0.1   1.5   1   0   0   1   1   1   1 -
ENSMUSP00000057965   -          COG0666              -            3.9e-11   43.3   0.2   7.8e-11   42.3   0.2   1.5   1   0   0   1   1   1   1 -
ENSMUSP00000041899   -          COG0666              -            5.1e-11   42.9   1.3   8.7e-11   42.2   1.3   1.3   1   0   0   1   1   1   1 -
