#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
ENSPTRP00000051765   -          NOG40200             -           3.9e-168  561.3 1274.6   8.1e-21   74.7  61.4  26.0   1   1  20  21  21  19  19 -
ENSPTRP00000044192   -          NOG40200             -            2.8e-07   30.0   0.0     1e-06   28.1   0.0   1.7   1   1   0   1   1   1   1 -
ENSPTRP00000026046   -          NOG40200             -            5.1e-07   29.2  12.2     1e-06   28.2  10.7   2.2   1   1   0   1   1   1   1 -
ENSPTRP00000059960   -          NOG40200             -            5.4e-07   29.1   0.0   1.6e-06   27.5   0.0   1.6   1   1   0   1   1   1   1 -
ENSPTRP00000016959   -          NOG40200             -            1.1e-06   28.0   0.1   2.2e-06   27.0   0.1   1.3   1   1   0   1   1   1   1 -
ENSPTRP00000046674   -          NOG40200             -            1.2e-06   27.9   0.0   8.3e-05   21.9   0.0   3.5   1   1   0   1   1   1   1 -
ENSPTRP00000080338   -          NOG40200             -            1.2e-06   27.9   0.0   0.00037   19.7   0.0   3.5   1   1   0   2   2   1   1 -
ENSPTRP00000074436   -          NOG40200             -            1.3e-06   27.8  21.1   1.3e-06   27.8  21.1   6.7   1   1   2   4   4   1   1 -
ENSPTRP00000084908   -          NOG40200             -            1.3e-06   27.8  21.1   1.3e-06   27.8  21.1   6.7   1   1   2   4   4   1   1 -
ENSPTRP00000038250   -          NOG40200             -            1.8e-06   27.3   0.0   4.2e-06   26.1   0.0   1.7   1   1   0   1   1   1   1 -
ENSPTRP00000074603   -          NOG40200             -            2.3e-06   27.0   0.0   6.1e-06   25.6   0.0   1.5   1   1   0   1   1   1   1 -
ENSPTRP00000066741   -          NOG40200             -            2.7e-06   26.8  14.6   0.00014   21.1  14.6   3.7   1   1   0   1   1   1   1 -
ENSPTRP00000035026   -          NOG40200             -            3.2e-06   26.5   0.0   3.2e-06   26.5   0.0   2.5   1   1   2   3   3   1   1 -
ENSPTRP00000023016   -          NOG40200             -            3.4e-06   26.4   0.0   0.00023   20.4   0.0   2.9   1   1   0   1   1   1   1 -
ENSPTRP00000044025   -          NOG40200             -            3.7e-06   26.3   0.4   0.00029   20.0   0.4   2.7   1   1   0   1   1   1   1 -
ENSPTRP00000028187   -          NOG40200             -            4.6e-06   26.0   0.0     0.022   13.9   0.0   3.0   2   2   0   2   2   2   1 -
ENSPTRP00000021517   -          NOG40200             -            7.7e-06   25.3   0.0   9.5e-06   25.0   0.0   1.1   1   0   0   1   1   1   1 -
ENSPTRP00000002280   -          NOG40200             -            7.8e-06   25.2   0.0   8.5e-06   25.1   0.0   1.0   1   0   0   1   1   1   1 -
ENSPTRP00000012246   -          NOG40200             -              1e-05   24.9  20.9   0.00035   19.8   0.6   2.8   2   1   0   2   2   2   1 -
ENSPTRP00000016254   -          NOG40200             -            1.1e-05   24.8   5.5   1.1e-05   24.8   5.5   5.4   2   1   1   3   3   2   1 -
ENSPTRP00000038119   -          NOG40200             -            1.3e-05   24.6   0.0   2.4e-05   23.6   0.0   1.4   1   1   0   1   1   1   1 -
ENSPTRP00000021858   -          NOG40200             -            1.3e-05   24.6   5.8   1.4e-05   24.5   5.8   1.1   1   0   0   1   1   1   1 -
ENSPTRP00000021521   -          NOG40200             -            1.3e-05   24.5   0.0   2.1e-05   23.8   0.0   1.3   1   0   0   1   1   1   1 -
ENSPTRP00000013163   -          NOG40200             -            1.4e-05   24.4   5.0     0.001   18.3   5.2   2.7   1   1   0   1   1   1   1 -
ENSPTRP00000090655   -          NOG40200             -            1.8e-05   24.1   0.0   9.2e-05   21.7   0.0   1.7   1   1   0   1   1   1   1 -
ENSPTRP00000087039   -          NOG40200             -            1.8e-05   24.0   3.2   3.1e-05   23.2   3.2   1.4   1   1   0   1   1   1   1 -
ENSPTRP00000065802   -          NOG40200             -            2.5e-05   23.6   1.0   0.00013   21.3   1.0   1.9   1   1   0   1   1   1   1 -
ENSPTRP00000090036   -          NOG40200             -            3.5e-05   23.1   0.0    0.0017   17.5   0.0   2.2   1   1   0   1   1   1   1 -
ENSPTRP00000087577   -          NOG40200             -            3.7e-05   23.0   0.0   3.7e-05   23.0   0.0   5.7   1   1   3   4   4   1   1 -
ENSPTRP00000080283   -          NOG40200             -            3.8e-05   23.0   0.0      0.08   12.0   0.0   3.4   1   1   1   2   2   2   2 -
ENSPTRP00000014854   -          NOG40200             -              4e-05   22.9   0.0       3.1    6.7   0.0   2.4   1   1   1   2   2   1   0 -
ENSPTRP00000028674   -          NOG40200             -            5.3e-05   22.5   0.0   0.00047   19.4   0.0   2.5   1   1   0   1   1   1   1 -
ENSPTRP00000068821   -          NOG40200             -            6.1e-05   22.3   0.8    0.0012   18.0   0.7   2.8   1   1   0   1   1   1   1 -
ENSPTRP00000073737   -          NOG40200             -            6.2e-05   22.3   0.0   0.00035   19.8   0.0   1.8   1   1   0   1   1   1   1 -
ENSPTRP00000023370   -          NOG40200             -            6.5e-05   22.2  32.6   9.8e-05   21.6  32.6   1.3   1   0   0   1   1   1   1 -
ENSPTRP00000079253   -          NOG40200             -            6.7e-05   22.2   0.0   0.00013   21.2   0.0   1.4   1   1   0   1   1   1   1 -
ENSPTRP00000084607   -          NOG40200             -            7.9e-05   21.9   0.0   7.9e-05   21.9   0.0   4.4   3   2   0   3   3   2   1 -
ENSPTRP00000012522   -          NOG40200             -            9.3e-05   21.7   0.0   0.00033   19.9   0.0   1.9   1   1   0   1   1   1   1 -
ENSPTRP00000075875   -          NOG40200             -            0.00014   21.1   6.6   0.00015   21.0   6.6   1.1   1   0   0   1   1   1   1 -
ENSPTRP00000078954   -          NOG40200             -            0.00018   20.8   3.6   0.00018   20.8   3.6   5.8   2   2   1   3   3   2   1 -
ENSPTRP00000085621   -          NOG40200             -            0.00018   20.7   0.1     0.094   11.8   0.0   2.6   1   1   0   2   2   1   1 -
ENSPTRP00000060450   -          NOG40200             -            0.00019   20.7   1.5    0.0037   16.4   0.0   2.4   1   1   1   2   2   2   2 -
ENSPTRP00000033018   -          NOG40200             -            0.00019   20.7   0.0     0.004   16.3   0.0   2.1   1   1   0   1   1   1   1 -
ENSPTRP00000014210   -          NOG40200             -            0.00022   20.4   0.0    0.0063   15.6   0.0   2.9   2   1   0   2   2   1   1 -
ENSPTRP00000074742   -          NOG40200             -            0.00025   20.2   0.0   0.00071   18.8   0.0   1.5   1   1   0   1   1   1   1 -
ENSPTRP00000042391   -          NOG40200             -            0.00026   20.2   0.5   0.00045   19.4   0.5   1.4   1   1   0   1   1   1   1 -
ENSPTRP00000039624   -          NOG40200             -            0.00031   20.0   3.6       1.8    7.6   0.0   3.7   2   1   1   3   3   2   0 -
ENSPTRP00000083478   -          NOG40200             -            0.00043   19.5   5.3   0.00046   19.4   5.3   1.1   1   0   0   1   1   1   1 -
ENSPTRP00000071060   -          NOG40200             -            0.00043   19.5   0.0     0.031   13.3   0.0   2.3   1   1   0   2   2   2   1 -
ENSPTRP00000030668   -          NOG40200             -            0.00045   19.4   0.0    0.0053   15.9   0.0   2.5   1   1   0   1   1   1   1 -
ENSPTRP00000017217   -          NOG40200             -            0.00046   19.4   0.0    0.0012   18.0   0.0   1.6   1   1   0   1   1   1   1 -
ENSPTRP00000023838   -          NOG40200             -             0.0005   19.3  16.0   0.00053   19.2   0.0   2.2   2   0   0   2   2   1   1 -
ENSPTRP00000064893   -          NOG40200             -            0.00053   19.2   0.0   0.00086   18.5   0.0   1.5   1   1   0   1   1   1   1 -
ENSPTRP00000063155   -          NOG40200             -            0.00054   19.2   4.7    0.0015   17.7   4.0   1.8   1   1   0   1   1   1   1 -
ENSPTRP00000054785   -          NOG40200             -            0.00056   19.1   0.0    0.0007   18.8   0.0   1.1   1   0   0   1   1   1   1 -
ENSPTRP00000070159   -          NOG40200             -            0.00061   19.0   5.1   0.00066   18.9   5.1   1.1   1   0   0   1   1   1   1 -
ENSPTRP00000081551   -          NOG40200             -            0.00062   19.0   0.1   0.00062   19.0   0.1   1.7   1   1   1   2   2   1   1 -
ENSPTRP00000006215   -          NOG40200             -            0.00066   18.9   0.0    0.0071   15.5   0.0   2.4   1   1   1   2   2   1   1 -
ENSPTRP00000077970   -          NOG40200             -            0.00067   18.9   0.0    0.0054   15.9   0.0   2.0   1   1   0   1   1   1   1 -
ENSPTRP00000018707   -          NOG40200             -            0.00075   18.7   0.0    0.0022   17.2   0.0   1.3   1   1   0   1   1   1   1 -
ENSPTRP00000056978   -          NOG40200             -            0.00083   18.5   6.3     0.018   14.1   6.5   2.2   1   1   0   1   1   1   1 -
ENSPTRP00000076963   -          NOG40200             -            0.00087   18.5   0.1   0.00098   18.3   0.1   1.2   1   0   0   1   1   1   1 -
ENSPTRP00000041820   -          NOG40200             -            0.00093   18.4   8.3     0.016   14.3   8.3   2.3   1   1   0   1   1   1   1 -
ENSPTRP00000068656   -          NOG40200             -              0.001   18.3   0.0     0.013   14.6   0.0   2.0   1   1   0   1   1   1   1 -
ENSPTRP00000073566   -          NOG40200             -             0.0011   18.2   0.0    0.0051   15.9   0.0   2.0   1   1   0   1   1   1   1 -
ENSPTRP00000042053   -          NOG40200             -             0.0011   18.2   0.0    0.0057   15.8   0.0   1.9   1   1   0   1   1   1   1 -
ENSPTRP00000044965   -          NOG40200             -             0.0011   18.2   0.0        61    2.5   0.0   2.4   2   1   0   2   2   2   0 -
ENSPTRP00000043727   -          NOG40200             -             0.0011   18.2  24.7     0.036   13.1  24.8   2.6   1   1   0   1   1   1   1 -
ENSPTRP00000065836   -          NOG40200             -             0.0012   18.0   0.1    0.0033   16.6   0.1   1.9   1   1   0   1   1   1   1 -
ENSPTRP00000046345   -          NOG40200             -             0.0013   17.9  11.5     0.062   12.4  11.5   2.4   1   1   0   1   1   1   1 -
ENSPTRP00000013532   -          NOG40200             -             0.0013   17.9   0.0    0.0063   15.6   0.0   1.8   1   1   0   1   1   1   1 -
ENSPTRP00000005148   -          NOG40200             -             0.0013   17.9   0.0    0.0035   16.5   0.0   1.6   1   1   0   1   1   1   1 -
ENSPTRP00000010719   -          NOG40200             -             0.0014   17.8   0.5     0.023   13.8   0.5   2.1   1   1   0   1   1   1   1 -
ENSPTRP00000074490   -          NOG40200             -             0.0014   17.8   0.0    0.0018   17.4   0.0   1.2   1   0   0   1   1   1   1 -
ENSPTRP00000039730   -          NOG40200             -             0.0014   17.8   0.0    0.0014   17.8   0.0   2.7   1   1   1   2   2   1   1 -
ENSPTRP00000014198   -          NOG40200             -             0.0014   17.8  13.9    0.0016   17.6  13.9   1.1   1   0   0   1   1   1   1 -
ENSPTRP00000046919   -          NOG40200             -             0.0015   17.7   0.2     0.003   16.7   0.2   1.5   1   1   0   1   1   1   1 -
ENSPTRP00000070799   -          NOG40200             -             0.0016   17.6   0.0      0.02   14.0   0.0   2.3   1   1   0   1   1   1   1 -
ENSPTRP00000076161   -          NOG40200             -             0.0019   17.4   0.0     0.015   14.4   0.0   2.5   4   1   0   4   4   1   1 -
ENSPTRP00000038973   -          NOG40200             -              0.002   17.3   0.9    0.0017   17.5   0.9   1.2   1   0   0   1   1   1   1 -
ENSPTRP00000030075   -          NOG40200             -             0.0023   17.1   7.8    0.0022   17.1   7.8   1.1   1   0   0   1   1   1   1 -
ENSPTRP00000002911   -          NOG40200             -             0.0023   17.1   0.0     0.031   13.4   0.0   2.1   1   1   0   1   1   1   1 -
ENSPTRP00000000189   -          NOG40200             -             0.0024   17.0   0.0     0.015   14.4   0.0   2.0   1   1   0   1   1   1   1 -
ENSPTRP00000060485   -          NOG40200             -             0.0024   17.0   0.0    0.0044   16.2   0.0   1.4   1   1   0   1   1   1   1 -
ENSPTRP00000016173   -          NOG40200             -             0.0024   17.0  10.6    0.0029   16.8  10.6   1.1   1   0   0   1   1   1   1 -
ENSPTRP00000014816   -          NOG40200             -             0.0025   17.0   5.5      0.12   11.4   0.7   2.2   2   0   0   2   2   2   1 -
ENSPTRP00000083924   -          NOG40200             -             0.0031   16.7   6.7     0.003   16.7   6.7   1.1   1   0   0   1   1   1   1 -
ENSPTRP00000042087   -          NOG40200             -             0.0033   16.6   0.5    0.0033   16.6   0.5   2.1   2   0   0   2   2   2   1 -
ENSPTRP00000091126   -          NOG40200             -             0.0041   16.3   0.3    0.0042   16.2   0.3   1.0   1   0   0   1   1   1   1 -
ENSPTRP00000041901   -          NOG40200             -             0.0045   16.1  11.2    0.0044   16.1  11.2   1.2   1   0   0   1   1   1   1 -
ENSPTRP00000037707   -          NOG40200             -             0.0052   15.9   0.0     0.011   14.8   0.0   1.6   1   1   0   1   1   1   1 -
ENSPTRP00000063084   -          NOG40200             -             0.0052   15.9   0.0     0.011   14.8   0.0   1.6   1   1   0   1   1   1   1 -
ENSPTRP00000084291   -          NOG40200             -             0.0063   15.6   0.0     0.011   14.9   0.0   1.5   1   1   0   1   1   1   1 -
ENSPTRP00000040345   -          NOG40200             -             0.0068   15.5   8.4    0.0066   15.6   8.4   1.1   1   0   0   1   1   1   1 -
ENSPTRP00000026790   -          NOG40200             -             0.0073   15.4  23.7    0.0094   15.1  23.7   1.4   1   0   0   1   1   1   1 -
ENSPTRP00000014243   -          NOG40200             -             0.0078   15.3   7.0     0.025   13.7   0.0   3.4   2   1   0   2   2   1   1 -
ENSPTRP00000032341   -          NOG40200             -             0.0082   15.3   6.0     0.021   13.9   6.0   1.7   1   1   0   1   1   1   1 -
ENSPTRP00000083735   -          NOG40200             -             0.0082   15.3   6.4     0.015   14.4   6.4   1.4   1   0   0   1   1   1   1 -
ENSPTRP00000091331   -          NOG40200             -             0.0085   15.2   8.4     0.008   15.3   8.4   1.1   1   0   0   1   1   1   1 -
ENSPTRP00000080342   -          NOG40200             -             0.0092   15.1   2.3    0.0086   15.2   2.3   1.1   1   0   0   1   1   1   1 -
ENSPTRP00000078563   -          NOG40200             -              0.011   14.8   0.2     0.041   13.0   0.2   1.8   1   1   0   1   1   1   0 -
ENSPTRP00000031744   -          NOG40200             -              0.014   14.5   0.0     0.048   12.7   0.0   1.6   1   1   0   1   1   1   0 -
ENSPTRP00000000457   -          NOG40200             -              0.014   14.5  21.5       2.1    7.3  14.3   3.4   3   0   0   3   3   3   0 -
ENSPTRP00000011798   -          NOG40200             -              0.015   14.4   0.0     0.033   13.3   0.0   1.5   1   1   0   1   1   1   0 -
ENSPTRP00000043002   -          NOG40200             -              0.015   14.4   1.1     0.024   13.7   0.8   1.7   1   1   0   1   1   1   0 -
ENSPTRP00000014974   -          NOG40200             -              0.015   14.4   0.0     0.037   13.1   0.0   1.5   1   1   0   1   1   1   0 -
ENSPTRP00000066498   -          NOG40200             -              0.018   14.1  17.9     0.026   13.6  17.9   1.2   1   0   0   1   1   1   0 -
ENSPTRP00000061420   -          NOG40200             -              0.019   14.1   0.0      0.15   11.1   0.0   1.9   1   1   0   1   1   1   0 -
ENSPTRP00000008836   -          NOG40200             -               0.02   14.0   0.0     0.043   12.9   0.0   1.7   1   1   0   1   1   1   0 -
ENSPTRP00000079869   -          NOG40200             -              0.021   13.9   8.8     0.066   12.3   8.8   1.7   1   1   0   1   1   1   0 -
ENSPTRP00000086964   -          NOG40200             -              0.022   13.9   6.3     0.027   13.6   6.3   1.1   1   0   0   1   1   1   0 -
ENSPTRP00000033838   -          NOG40200             -              0.022   13.9   8.8      0.44    9.6   8.8   2.5   1   1   0   1   1   1   0 -
ENSPTRP00000023538   -          NOG40200             -              0.023   13.8   0.0       0.2   10.7   0.0   2.1   1   1   0   1   1   1   0 -
ENSPTRP00000066123   -          NOG40200             -              0.023   13.8   0.0      0.15   11.1   0.0   2.3   1   1   0   2   2   1   0 -
ENSPTRP00000014781   -          NOG40200             -              0.023   13.8   9.8     0.033   13.3   9.8   1.1   1   0   0   1   1   1   0 -
ENSPTRP00000015962   -          NOG40200             -              0.024   13.7   4.4     0.028   13.5   4.4   1.0   1   0   0   1   1   1   0 -
ENSPTRP00000008061   -          NOG40200             -              0.025   13.7   0.0     0.083   11.9   0.0   1.6   1   1   0   1   1   1   0 -
ENSPTRP00000064690   -          NOG40200             -              0.025   13.7   4.1     0.034   13.2   4.1   1.2   1   0   0   1   1   1   0 -
ENSPTRP00000041223   -          NOG40200             -              0.026   13.6   0.0     0.043   12.9   0.0   1.3   1   1   0   1   1   1   0 -
ENSPTRP00000028715   -          NOG40200             -              0.027   13.5   0.0      0.16   11.0   0.0   1.8   1   1   0   1   1   1   0 -
ENSPTRP00000009400   -          NOG40200             -              0.028   13.5   6.8     0.014   14.5   3.3   1.9   2   0   0   2   2   2   0 -
ENSPTRP00000081284   -          NOG40200             -              0.029   13.4   2.5     0.039   13.0   2.5   1.1   1   0   0   1   1   1   0 -
ENSPTRP00000085873   -          NOG40200             -              0.031   13.4   1.6     0.041   13.0   1.6   1.1   1   0   0   1   1   1   0 -
ENSPTRP00000019197   -          NOG40200             -              0.032   13.3   1.1     0.076   12.1   0.1   1.8   1   1   1   2   2   2   0 -
ENSPTRP00000071147   -          NOG40200             -              0.032   13.3   8.1      0.04   13.0   8.1   1.3   1   0   0   1   1   1   0 -
ENSPTRP00000082789   -          NOG40200             -              0.032   13.3   1.1     0.077   12.0   0.1   1.8   1   1   1   2   2   2   0 -
ENSPTRP00000044946   -          NOG40200             -              0.033   13.3   6.0        13    4.7   3.7   3.0   1   1   1   2   2   1   0 -
ENSPTRP00000076382   -          NOG40200             -              0.036   13.1   0.0     0.075   12.1   0.0   1.4   1   1   0   1   1   1   0 -
ENSPTRP00000056751   -          NOG40200             -              0.038   13.1  10.0     0.057   12.5  10.0   1.3   1   0   0   1   1   1   0 -
ENSPTRP00000056825   -          NOG40200             -              0.041   12.9   0.8       0.2   10.7   0.5   1.9   1   1   0   1   1   1   0 -
ENSPTRP00000079802   -          NOG40200             -              0.048   12.7   2.7     0.061   12.4   2.7   1.3   1   1   0   1   1   1   0 -
ENSPTRP00000057308   -          NOG40200             -              0.049   12.7  17.2      0.17   10.9  17.2   2.0   1   1   0   1   1   1   0 -
ENSPTRP00000068118   -          NOG40200             -              0.051   12.6   0.0       1.2    8.2   0.0   2.6   2   2   0   2   2   1   0 -
ENSPTRP00000004431   -          NOG40200             -              0.052   12.6   0.0     0.052   12.6   0.0   2.0   1   1   0   2   2   1   0 -
ENSPTRP00000041611   -          NOG40200             -              0.054   12.6   0.0      0.26   10.3   0.0   1.9   1   1   0   1   1   1   0 -
ENSPTRP00000063909   -          NOG40200             -              0.059   12.4   2.6     0.048   12.7   2.6   1.1   1   0   0   1   1   1   0 -
ENSPTRP00000005896   -          NOG40200             -              0.059   12.4   6.8     0.068   12.2   6.8   1.1   1   0   0   1   1   1   0 -
ENSPTRP00000051245   -          NOG40200             -              0.061   12.4   3.1      0.31   10.0   3.2   1.9   1   1   0   1   1   1   0 -
ENSPTRP00000038771   -          NOG40200             -              0.062   12.4   1.2     0.099   11.7   1.2   1.2   1   0   0   1   1   1   0 -
ENSPTRP00000061948   -          NOG40200             -              0.064   12.3  14.1      0.12   11.4  14.1   1.4   1   0   0   1   1   1   0 -
ENSPTRP00000020434   -          NOG40200             -              0.064   12.3   1.2     0.066   12.3   1.2   1.1   1   0   0   1   1   1   0 -
ENSPTRP00000072561   -          NOG40200             -              0.064   12.3   0.0         4    6.4   0.0   2.1   1   1   1   2   2   1   0 -
ENSPTRP00000048497   -          NOG40200             -              0.066   12.3   1.4     0.069   12.2   1.4   1.1   1   0   0   1   1   1   0 -
ENSPTRP00000009783   -          NOG40200             -              0.066   12.3   0.0      0.38    9.7   0.0   2.0   1   1   0   1   1   1   0 -
ENSPTRP00000091992   -          NOG40200             -              0.067   12.3   0.0      0.17   10.9   0.0   1.4   1   1   0   1   1   1   0 -
ENSPTRP00000080247   -          NOG40200             -              0.068   12.2   1.3       0.2   10.7   0.1   1.7   1   1   1   2   2   1   0 -
ENSPTRP00000086167   -          NOG40200             -              0.069   12.2   0.0      0.13   11.3   0.0   1.5   1   1   0   1   1   1   0 -
ENSPTRP00000076265   -          NOG40200             -              0.071   12.2  23.4        13    4.7  23.4   4.1   1   1   0   1   1   1   0 -
ENSPTRP00000065831   -          NOG40200             -              0.071   12.2   0.8      0.18   10.9   0.1   1.8   1   1   1   2   2   2   0 -
ENSPTRP00000051728   -          NOG40200             -              0.071   12.2  14.4     0.072   12.1  14.4   1.1   1   0   0   1   1   1   0 -
ENSPTRP00000083357   -          NOG40200             -              0.073   12.1   1.6     0.076   12.1   1.6   1.1   1   0   0   1   1   1   0 -
ENSPTRP00000063370   -          NOG40200             -              0.074   12.1   2.4      0.21   10.6   2.4   1.8   1   1   0   1   1   1   0 -
